2016-04-25 22:37:33,421 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.farmacia.jersey:com.farmacia.jersey:0.0.1-SNAPSHOT @ /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/pom.xml.
2016-04-25 22:37:33,421 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.farmacia.jersey:com.farmacia.jersey:0.0.1-SNAPSHOT @ /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/pom.xml.
2016-04-25 22:37:34,764 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 22:37:34,771 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/src/main/resources
2016-04-25 22:37:34,774 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 22:37:34,774 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/src/test/resources
2016-04-25 22:37:36,553 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.farmacia.jersey:com.farmacia.jersey:0.0.1-SNAPSHOT @ /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/pom.xml.
2016-04-25 22:37:36,691 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 22:37:36,692 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/src/main/resources
2016-04-25 22:37:36,694 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 22:37:36,695 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/src/test/resources
2016-04-25 22:37:37,843 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 22:37:37,843 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/src/main/resources
2016-04-25 22:37:37,844 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 22:37:37,845 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ruben/Documentos/trabajo/proyectosGit/web_service/Rest-jersey/com.farmacia.jersey/src/test/resources
